,mi_score,shap_score,rfe_rank,in_mi,in_shap,in_rfe,vote_count,selected,mi_score_norm,shap_score_norm,rfe_score_norm,avg_norm_score
silver_usd_ret_20d,0.16730140440937724,0.009107264,1,True,False,True,2,True,0.7823367850997854,0.14378777,1.0,0.6420415188543932
btc_usd_ret_5d,0.1768192488836,0.003529624,1,True,False,True,2,True,0.826844240810216,0.055726595,1.0,0.6275236120110553
gold_usd_vol_20,0.16105858661419603,0.007816534,1,True,False,True,2,True,0.7531440474710267,0.1234094,1.0,0.6255178151237104
oil_usd_to_sma20,0.15892861418773352,0.008402953,1,True,False,True,2,True,0.743183845484961,0.13266793,1.0,0.6252839248063528
silver_usd_vol_20,0.1599159610170946,0.0077489507,1,True,False,True,2,True,0.7478008882825856,0.122342385,1.0,0.6233810912114145
gold_usd_ret_20d,0.17136397810308157,0.004175411,1,True,False,True,2,True,0.8013342397474851,0.06592244,1.0,0.6224188929486144
btc_usd_ret_20d,0.1495165959333531,0.010348732,1,True,True,True,3,True,0.6991712555821605,0.16338839,1.0,0.6208532139836374
pct_from_52w_low,0.04309246229301911,0.041241985,1,False,True,True,2,True,0.20150947645281506,0.65113884,1.0,0.6175494395195602
silver_usd_to_sma20,0.15726971023193093,0.005601161,1,True,False,True,2,True,0.7354264593939499,0.08843254,1.0,0.6079530007912224
bb_wband,0.02977624612593388,0.04294958,1,False,True,True,2,True,0.13924003058277593,0.6780988,1.0,0.6057796094603108
atr_pct,0.018403324006644795,0.046002984,1,False,True,True,2,True,0.08605783907992828,0.7263067,1.0,0.6041215053148508
btc_usd_vol_20,0.1478318392773561,0.006783263,1,True,False,True,2,True,0.6912929767919661,0.10709586,1.0,0.5994629455789289
gold_usd_to_sma20,0.15366354647858138,0.0050161486,1,True,False,True,2,True,0.7185632742503545,0.079196215,1.0,0.5992531629754193
btc_usd_to_sma20,0.1474545993686216,0.0061884094,1,True,False,True,2,True,0.6895289231161911,0.097704165,1.0,0.5957443626000033
gold_usd_to_sma50,0.11005363287185466,0.010468929,1,True,True,True,3,True,0.514634085909042,0.1652861,1.0,0.5599733932864379
silver_usd_to_sma50,0.1111909881115114,0.009745551,1,True,False,True,2,True,0.5199525997903253,0.15386522,1.0,0.557939272650954
silver_usd_ret_1d,0.16549417519975185,0.0026611418,2,True,False,False,1,False,0.773885798721111,0.042014778,0.8333333333333334,0.5497446365716048
oil_usd_to_sma50,0.11329356053808404,0.0067371004,1,True,False,True,2,True,0.5297846735762647,0.10636704,1.0,0.5453839034255045
btc_usd_to_sma50,0.10825329230597047,0.0041135703,1,True,False,True,2,True,0.5062153122868428,0.064946085,1.0,0.5237204658338191
usd_irr_vol_20,0.08801313562791124,0.008743311,1,False,False,True,1,False,0.4115680547737954,0.1380416,1.0,0.5165365517862598
ret_2d,0.031064211805221564,0.018604895,1,False,True,True,2,True,0.1452628307643404,0.29373878,1.0,0.47966720439006455
up_streak,0.014598473139315171,0.023144001,1,False,True,True,2,True,0.06826555092885556,0.36540332,1.0,0.4778896250981572
usd_irr_to_sma20,0.06743217801676593,0.0063134423,1,False,False,True,1,False,0.3153271399493176,0.09967822,1.0,0.4716684527713444
daily_range_pct,0.023257205633272715,0.019053731,1,False,True,True,2,True,0.10875561714363807,0.3008251,1.0,0.46986023545329014
volatility_20,0.03260223870102408,0.016121753,1,False,True,True,2,True,0.1524549701328471,0.25453427,1.0,0.4689964148241743
usd_irr_close,0.05013177384022738,0.010110679,1,False,False,True,1,False,0.2344267874855612,0.15962994,1.0,0.4646855761573982
volatility_10,0.028706464688784017,0.014187232,1,False,True,True,2,True,0.13423750610754,0.22399159,1.0,0.45274303128853477
price_to_sma10,0.02718724198133149,0.013088945,1,False,True,True,2,True,0.1271332991046466,0.20665157,1.0,0.44459495583914244
ret_3d,0.03067452191789366,0.01162323,1,False,True,True,2,True,0.1434405583529743,0.18351048,1.0,0.442317013554741
gap_pct,0.019980593948099923,0.013608441,1,False,True,True,2,True,0.09343348723774714,0.2148535,1.0,0.43609566086572266
